Ticket ID,Vehicle ID/Chasis No,Battery ID,Issue,Resolved Type,Location,Technician Name,Created Time
7237,KA03KW7032,ZENE4600,Chagori Melt,Replace,Delhi,Harsh,"3/30/2026, 5:22:09 PM"
7238,KA04KS4264,ZENE4930,Chagori Melt,Replace,Delhi,Harsh,"3/31/2026, 10:40:32 AM"
7239,MH04MW8877,ZENE9181,Battery Not Charging,,Mumbai,,"3/31/2026, 2:50:41 PM"
7240,HR26FW7774,ZENE4175,Battery Not Charging,,Delhi,,"3/31/2026, 3:18:32 PM"
7241,HR30AE8913,ZENE4466,Chagori Melt,,Delhi,,"3/31/2026, 3:20:04 PM"
7242,HR30AE8913,ZENE4238,Other,,Delhi,,"3/31/2026, 3:21:32 PM"
7243,KA04KS4193,ZEAA0568,Service required,,Delhi,,"3/31/2026, 3:42 PM"
7244,Dl4gd9374,ZENE5369,Service required,Replace,Delhi,deepak,"3/31/2026, 4:20 PM"
7245,KA04KS4193,ZENE4600,Service required,Replace,Delhi,Saurav,"4/1/2026, 11:16 AM"
7246,DL4SDY2730,ZENE3917,Chagori Melt,,Delhi,,"4/1/2026, 11:16:38 AM"
7247,KA50EN3669,ZENE2898,Battery Not Charging,,Delhi,,"4/1/2026, 11:42:46 AM"
7248,MH02GK1491,ZENE9865,Chagori Melt,,Mumbai,,"4/1/2026, 11:43:54 AM"
7249,MH02GK1461,ZENE1315,Chagori Melt,,Mumbai,,"4/1/2026, 11:44:54 AM"
7250,MH02GK0231,ZENE1305,Other,,Mumbai,,"4/1/2026, 11:53:43 AM"
7251,KA04KS4304,ZENE2551,Service required,,Delhi,,"4/1/2026, 12:10 PM"
7252,MH02GK1477,ZENE1205,Other,,Mumbai,,"4/1/2026, 12:18:43 PM"
7253,NA,ZENE2251,Chagori Melt,,Delhi,,"4/1/2026, 12:21:19 PM"
7254,MH02GK1479,ZENE9450,Other,,Mumbai,,"4/1/2026, 12:23:15 PM"
7255,NA,ZENE5083,Chagori Melt,,Delhi,,"4/1/2026, 12:23:59 PM"
